row_id,is_related,relation_type,confidence,reason
1,否,无明显关系,0.93,"同地区，但核心名称差异大；仅共享通用词 'TECH' 和法人后缀 'W.L.L'，不足以判断关联"
2,否,无明显关系,0.76,"同地区且都以 'PCS' 开头，但后缀分别为 'SOLUTION' 与 'INVEST'，更像不同公司共享缩写"
3,否,无明显关系,0.95,"地区一致，但 'NetSec SK' 与 'Mark2 Corporation Slovakia' 主体名称完全不同，'s.r.o.' 只是通用法人后缀"
4,否,无明显关系,0.97,"仅同地区；'Devjee International Trading' 与 'Motshwanelo Information Technology Consulting' 无实质名称重合"
5,是,同一公司,0.99,"同地区，'almalath al arabia' 与 'Al Malath Al Arabia Company' 仅空格/大小写/后缀差异，明显为同一主体写法变体"
6,否,无明显关系,0.88,"同地区，但 'TransTelecom' 与 'Kazakhtelecom' 仅共享通用行业词 'telecom'，核心品牌不同"
7,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
8,否,无明显关系,0.98,"'Sanadc' 与 'Atadtech' 名称差异明显，仅地区相同，不足以判断关联"
9,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
10,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
11,否,无明显关系,0.86,"同地区，但仅共享通用词 'Security'，核心名称 'Inel' 与 'Ell Jaber' 不同"
12,否,无明显关系,0.84,"同地区，但仅共享通用行业词 'Telecom/Technology'，核心品牌不一致"
13,否,无明显关系,0.68,"同地区，'3S' 与 '3S STANDARD Sharing Software' 存在前缀重合，但 '3S' 过于简短泛化，证据不足以认定关联"
14,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
15,否,无明显关系,0.90,"同地区，但 '3S SECURITY' 与 'Ell Jaber Security' 仅共享通用词 'Security'，核心名称不同"
16,否,无明显关系,0.97,"'Soteme sfax' 与 'EPE RETELEM SPA' 名称差异大，仅地区一致，无法支持关联"
17,否,无明显关系,0.97,"'HPS TUNISIE' 与 'NHA Electronics' 核心名称完全不同，仅地区一致"
18,否,无明显关系,0.91,"同地区，但双方仅共享通用词 'Trading & Contracting'，前缀主体完全不同"
19,否,无明显关系,0.96,"'Servisecur Vigilancia Privada' 与 'Visotrónica' 名称无明显对应关系，仅地区一致"
20,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
21,否,无明显关系,0.72,"同地区，且都含 'Cipta Integrasi'，但前缀分别为 'Datacore' 与 'Sistem'，更像不同公司而非同一主体"
22,否,无明显关系,0.95,"'Hassoun Group' 与 'Harmonic Systems' 核心名称无关，仅地区相同"
23,否,无明显关系,0.87,"同地区，但仅共享通用词 'Security'，'Eyecam' 与 'Atlas' 为不同品牌主体"
24,否,无明显关系,0.96,"巴西同地区，但 'LIVETECH DA BAHIA' 与 'TECNO-IT' 名称结构和核心词均不同"
25,是,同一公司,1.00,"公司名标准化后完全一致，仅大小写和标点差异，为同一公司"
26,否,无明显关系,0.92,"同地区，但仅共享通用行业词 'Technology/Telecomm/Servicos'，核心名称 'DAHUA' 与 'MAHVLA' 不同"
27,否,无明显关系,0.90,"同地区，但仅共享通用词 'Tecnologia'，'BLOKO' 与 'ZOOM' 为不同主体"
28,否,无明显关系,0.92,"同地区，但仅共享通用词 'Eletronicos LTDA'，核心公司名不同"
29,否,无明显关系,0.97,"'DCA DELTA CABLE AMERICAS' 与 'TRIPLA SERVICES' 无显著名称重合"
30,否,无明显关系,0.91,"同地区，但仅共享通用词 'Eletronicos LTDA'，'BRAKO' 与 'Led Wave' 不同"
31,否,无明显关系,0.97,"'REDEPRIME LOGISTICA DO BRASIL' 与 'Telefonica Brasil' 主体名称和行业指向均不同"
32,否,无明显关系,0.89,"同地区，但仅共享通用行业词 'Telecomunicacoes/Tecnologia/Servicos'，核心名称不一致"
33,否,无明显关联,0.93,"同属巴西区，但名称核心分别为 TALENTECH 与 AIDC，仅共享泛化词 TECNOLOGIA，不足以证明关联。"
34,否,无明显关联,0.95,"同属巴西区，但一方核心是 Sillis，另一方是 Telefonica，仅在基础行业词 INFRAESTRUTURA 上有重合。"
35,否,无明显关联,0.90,"同属墨西哥区，但 Integra/Integrales 属常见描述词，核心品牌 Compania Integra Soluciones 与 SYM 不一致。"
36,否,无明显关联,0.97,"同属巴西区，但 REDEPRIME 与 CONTROL TELEINFORMATICA 名称主体完全不同。"
37,是,同一公司,0.99,"账号直接匹配，名称与地区完全一致，可判定为同一公司。"
38,否,无明显关联,0.94,"同属巴西区，但 AC Solucoes 与 CONTROL TELEINFORMATICA 主体不同，仅有行业通用词重合。"
39,否,无明显关联,0.88,"同属肯尼亚组，但 Eagle Digital Surveillance 与 Top Choice Surveillance 仅共享通用词 Surveillance，缺乏主体重合。"
40,是,同一公司,0.99,"账号直接匹配，名称与地区完全一致，可判定为同一公司。"
41,是,同一公司,0.99,"账号直接匹配，名称与地区完全一致，可判定为同一公司。"
42,否,无明显关联,0.96,"同属巴基斯坦组，但 Bilal camera 与 Vital Tech International 名称主体完全不同。"
43,否,无明显关联,0.89,"同属坦桑尼亚组，但 Dahua Technology Tanzania 更像 Dahua 品牌当地实体，CITCC TANZANIA LIMITED 为另一独立主体。"
44,否,无明显关联,0.94,"同属坦桑尼亚组，但 INVENTIONS TECHNOLOGIES 与 Emerging Communications 核心名称无重合。"
45,否,无明显关联,0.96,"同属阿联酋组，但 khadamat facility management 与 Emirates Photo Marketing 业务词和主体均不一致。"
46,否,无明显关联,0.95,"同属印尼组，PT 只是常见公司前缀，Mahira Mitra Mandiri 与 Elang Strategi Adidaya 不是同名体系。"
47,否,无明显关联,0.97,"同属巴西区，但 SAO BENTO LIGHTING SOLUTIONS 与 CONTROL TELEINFORMATICA 名称主体完全不同。"
48,否,无明显关联,0.93,"同属巴西区，但 V2 INTEGRADORA 与 3CORP TECHNOLOGY 为不同主体，重合词多为行业通用词。"
49,否,无明显关联,0.91,"同属巴西区，但 LOGIC PRO 与 MAHVLA TELECOMM 主体不同，仅在技术服务类描述词上相似。"
50,否,无明显关联,0.92,"同属巴西区，但 CONNECTOWAY 与 MAHVLA TELECOMM 主体名称无直接对应关系。"
51,否,无明显关联,0.90,"同属巴西区，但 TECNOMARRA 与 TELEFONICA 核心品牌不同，仅有 SEGURANCA 等通用词重合。"
52,否,无明显关联,0.95,"同属匈牙利组，但 BestByte Kft. 与 NT SYS Kft. 仅共享公司后缀 Kft.，主体不一致。"
53,否,无明显关联,0.87,"同属土耳其组，但 Deniz 与 Denge 虽拼写接近却不是同词，Elektronik 为通用行业词。"
54,否,无明显关联,0.84,"同属智利组，但 Inversiones 是高频通用词，Geyser 与 AVINVERSIONES S.A. 缺乏明确主体对应。"
55,存疑,疑似同品牌/同体系,0.62,"同属巴基斯坦组，Vital 与 Vital Tech International 共享显著核心词 Vital，但信息不足以确认是否同一公司。"
56,是,同一公司,0.96,"同属阿联酋组，Oasis Enterprises LLC 与 OASIS ENTERPRISES - SOLE PROPRIETORSHIP L.L.C. 仅为法律实体写法差异，高度疑似同一公司。"
57,存疑,疑似同品牌/同体系,0.58,"同属巴基斯坦组，Vital Karachi 与 Vital Tech International 共享核心词 Vital，且 Karachi 可能是地区标识，但仍缺少直接证据。"
58,是,同一公司,0.99,"账号直接匹配，名称与地区完全一致，可判定为同一公司。"
59,否,无明显关联,0.90,"同属巴基斯坦组，但 Alpha Security Services-ISB 与 Creative Security & IT Solutions 仅共享 Security 等通用词。"
60,否,无明显关联,0.86,"同属巴西区，但 FONMART 与 ZOOM 为不同主体，TECNOLOGIA 为通用词，不能据此认定关联。"
61,否,无明显关联,0.92,"同属巴西区，但 SEGURPRO 与 TECNO-IT 主体不同，长名称相似主要来自技术服务类通用词。"
62,是,同一公司,0.99,"账号直接匹配，名称与地区完全一致，可判定为同一公司。"
63,否,无明显关联,0.91,"同属巴西区，但 C2h Solucoes em Servicos 与 TRIPLA SERVICES 仅在服务类通用词上相近，主体不同。"
64,是,同一公司,0.99,"账号直接匹配，名称与地区完全一致，可判定为同一公司。"
65,否,无关,0.92,"同属巴西区但核心名称“PROCONNECT”与“3CORP”不同，仅行业词重合"
66,是,同一公司,0.99,"账号和公司名完全一致，属于直接匹配"
67,是,同一公司,0.99,"账号和公司名完全一致，属于直接匹配"
68,否,无关,0.95,"主体名称“FIBERX”与“CLD”完全不同，地区一致不足以证明关联"
69,否,无关,0.90,"仅共享通用词“TECNOLOGIA/LTDA”，主体字号“HOW BE”与“ZOOM”不同"
70,否,无关,0.90,"仅有通用词“SISTEMAS/LTDA”相近，主体“SPECTRA”与“Transvia”不同"
71,否,无关,0.84,"共享通用词“Tecnologia LTDA”，但“AIPLATES”与“IPQ”不是同一主体"
72,是,同一公司,0.99,"账号和公司名完全一致，属于直接匹配"
73,否,无关,0.97,"主体“PERKONS”与“Telefonica Brasil”明显不同"
74,是,同一公司,0.99,"账号和公司名完全一致，属于直接匹配"
75,否,无关,0.84,"仅共享通用词“Tecnologia Ltda”，主体“DMK3”与“ZOOM”不同"
76,否,无关,0.91,"名称都含技术服务类通用词，但主体“Semper Vincit”与“MAHVLA”不同"
77,是,同一公司,0.99,"账号和公司名完全一致，属于直接匹配"
78,否,无关,0.88,"都在通信行业，但主体“TELC”与“Net Telecom”不同，不足以认定关联"
79,否,无关,0.87,"都含“技术/通信”通用词，但核心名称“AGORA”与“TECNO-IT”不同"
80,否,无关,0.96,"主体为“Dahua Technology Poland”与“YUNEX”两家不同公司，仅地区一致"
81,否,无关,0.84,"仅共享通用词“Tecnologia LTDA”，主体“ENGIS”与“IPQ”不同"
82,否,无关,0.89,"都涉及安全领域，但“INTELSEG”与“TELEFONICA”主体不同"
83,否,无关,0.83,"名称前缀虽都有“Fast”音形相近，但“Fastlink”与“Fastel”仍是不同主体"
84,否,无关,0.97,"名称“UAE Hassoun”与“WE ONE”无明显主体关联，仅同地区"
85,否,无关,0.86,"仅共享通用词“International LLC”，主体“Spectrum”与“Omnix”不同"
86,否,无关,0.88,"仅共享通用词“International/L.L.C”，主体“NETS”与“Delta”不同"
87,否,无关,0.89,"仅共享设备类通用词和“LLC”，主体“SIBCA”与“LTS”不同"
88,否,无关,0.95,"主体“Technopro Plus”与“Telconet”明显不同"
89,否,无关,0.86,"仅共享通用词“technologies LLC”，主体“Glovis”与“NFS”不同"
90,否,无关,0.94,"主体“Dangote Industry”与“ARI Industries FZE”不同，“Solomon”更像人员后缀"
91,否,无关,0.94,"主体“Dangote Industries”与“ARI Industries FZE”不同，“Othniel Olowe”更像人员后缀"
92,否,无关,0.94,"主体“Dangote industries”与“ARI Industries FZE”不同，“Nnabuchi Micheal”更像人员后缀"
93,否,无关,0.94,"主体“Dangote Industries”与“ARI Industries FZE”不同，“Gbenga”更像人员后缀"
94,否,无关,0.92,"名称“SIGMAFONE”与“Net Telecom”不同，仅行业接近"
95,否,无关,0.88,"仅共享通用词“Informatica”，主体“CIJUN”与“COMPWIRE”不同"
96,否,无关,0.86,"仅共享通用词“Tecnologia”，主体“MANTIS”与“AIDC”不同"
97,否,无关,0.90,"同属巴西区，但 NETCON 与 Net Telecom Informatica 不是同一核心名称，Net/Telecom 属通用词。"
98,否,无关,0.99,"同属巴西区，但两家公司核心名称完全不同，仅地区一致，不构成关联。"
99,否,无关,0.97,"同属巴西区，虽然都有 Telecom/Servicos，但均为行业通用词，主体名称不同。"
100,否,无关,0.95,"同属巴西区，但 RADIUM 与 Net Telecom 无明显名称继承或别名关系。"
101,否,无关,0.96,"同属 UAE Group，但 Emirates 是地域常见前缀，Transport Technology Solutions 与 Photo Marketing 差异很大。"
102,是,同一客户-账号直接匹配,1.00,"cert_gsp_id、source_customer_id、mapped_customer_id 一致，且名称、地区一致。"
103,是,同一客户-账号直接匹配,1.00,"账号完全一致，名称与地区也一致。"
104,否,无关,0.93,"同属 UAE Group，但仅共享 Security 通用词，Spectrum 与 Atlas 不是同一主体。"
105,否,无关,0.94,"同属 UAE Group，但仅共享 International 这类泛化词，主体名称明显不同。"
106,否,无关,0.90,"同属 UAE Group，但 Dubai 为地域词、Technologies 为通用词，不足以证明与 PACC Dubai Branch 有关。"
107,否,无关,0.99,"同属 UAE Group，但名称核心词完全不同，无明显关联。"
108,否,无关,0.94,"同属 UAE Group，仅共享 International 泛化词，Alsaher 与 Omnix 不一致。"
109,是,同一客户-名称变体,0.97,"同属 Tanzania Group，Phoenix 与 PHOENIX LTD 核心名称一致，后者仅多法律实体后缀。"
110,否,无关,0.93,"同属 Indonesia Group，但仅共享 Teknologi 通用词，Visio Andalan 与 Uptrans 不同。"
111,否,无关,0.92,"同属 UAE Group，仅有 International，Inara 与 KTC 不是同一名称体系。"
112,是,同一客户-账号直接匹配,1.00,"账号完全一致，名称与地区一致。"
113,是,同一客户-名称变体,0.98,"同属 Peru Group，CU SECURITY 与 CU SECURITY E.I.R.L. 核心名称一致，仅差公司后缀。"
114,否,无关,0.95,"同属 Indonesia Group，但 Indonesia 是地域词，Kirana Cipta 与 SECOM 明显不同。"
115,是,同一客户-账号直接匹配,1.00,"账号完全一致，名称与地区一致。"
116,否,无关,0.96,"同属巴西区，虽都含 Telecom，但为行业通用词，ERIONE/ERIVAL 与 MAHVLA 不同。"
117,否,无关,0.99,"同属巴西区，但 POLICOM 与 ZOOM TECNOLOGIA 名称核心完全不同。"
118,否,无关,0.94,"同属 Indonesia Group，仅有 Solusi 等通用词相近，主体名称不一致。"
119,否,无关,0.95,"同属巴西区，仅共享 Informatica 通用词，DATAPROM 与 COMPWIRE 不同。"
120,否,无关,0.98,"同属巴西区，但公司核心名称完全不同，无别名迹象。"
121,否,无关,0.93,"同属巴西区，仅共享技术和安全类通用词，DIGITAL TECNOLOGIA 与 TELEFONICA 不同。"
122,否,无关,0.90,"同属巴西区，仅共享 Tecnologia 等通用词，Alia 与 Avantia 不是同一主体。"
123,是,同一公司,1.00,"账号完全一致，名称与地区一致。"
124,否,无关,0.95,"同属 Nigeria Group，仅共享 Services 通用词，Bezavic 与 MASTERPLAN 完全不同。"
125,否,无关,0.90,"同属 South Asian Association Group，但 IT Solution 极为泛化，不能据此认定与 Optimal Technology 有关。"
126,否,无关,0.93,"同属 Egypt Group，仅共享 International 泛化词，核心名称不同。"
127,否,无关,0.96,"同属 Australia Group，Wefee 与 Wireless Networks 无明显名称映射关系。"
128,否,无关,0.91,"同属 Malaysia Group，仅共享 Network/Technologies 类通用行业词，核心主体不同。"
